User ID,User Name,User Email,Client ID,Client Name,Project ID,Project Name,Task ID,Task Name,Start Date,Start Time,End Date,End Time,Estimated Time (minutes),Status,Segment,Tags,Repeats,Notes,Attachment Links
,,,,,4197859,206,51244150,Framing,2025-09-02,,2025-09-09,,0,To-do,Default Segment,,,,
,,,,,4197859,206,51244151,Plumbing,2025-09-10,,2025-09-16,,0,To-do,Default Segment,,,,
,,,,,4197859,206,51244152,HVAC,2025-09-15,,2025-09-15,,0,To-do,Default Segment,,,,
,,,,,4197859,206,51244156,Roof Order,2025-09-16,,2025-09-16,,0,To-do,Default Segment,,,,
,,,,,4197859,206,51244154,Electric,2025-09-17,,2025-09-17,,0,To-do,Default Segment,,,,
,,,,,4197859,206,51244155,Low Volt Rough,2025-09-18,,2025-09-18,,0,To-do,Default Segment,,,,
,,,,,4197859,206,51244157,cab measure,2025-09-18,,2025-09-18,,0,To-do,Default Segment,,,,
,,,,,4197859,206,51244158,lighting takeoff,2025-09-18,,2025-09-18,,0,To-do,Default Segment,,,,
,,,,,4197859,206,51244159,appliance order,2025-09-18,,2025-09-18,,0,To-do,Default Segment,,,,
,,,,,4197859,206,51244160,fire caulk,2025-09-19,,2025-09-19,,0,To-do,Default Segment,,,,
,,,,,4197859,206,51698973,sheetrock,2025-09-30,,2025-10-09,,0,To-do,Default Segment,,,,
,,,,,4197859,206,51698975,trim deliver,2025-10-09,,2025-10-09,,0,To-do,Default Segment,,,,
,,,,,4197859,206,51698977,ext knobs,2025-10-09,,2025-10-09,,0,To-do,Default Segment,,,,
,,,,,4197859,206,51698978,trim install,2025-10-10,,2025-10-10,,0,To-do,Default Segment,,,,
,,,,,4197859,206,51698979,first paint,2025-10-13,,2025-10-15,,0,To-do,Default Segment,,,,
,,,,,4197859,206,51698984,cab deliver,2025-10-15,,2025-10-15,,0,To-do,Default Segment,,,,
,,,,,4197859,206,51699640,Garage door ,2025-10-15,,2025-10-15,,,To-do,Default Segment,,,,
,,,,,4197859,206,51698985,cab install,2025-10-16,,2025-10-16,,0,To-do,Default Segment,,,,
,,,,,4197859,206,51698988,appliance 1,2025-10-17,,2025-10-17,,0,To-do,Default Segment,,,,
,,,,,4197859,206,51698991,lighting deliver,2025-10-20,,2025-10-20,,0,To-do,Default Segment,,,,
,,,,,4197859,206,51698992,top template,2025-10-20,,2025-10-20,,0,To-do,Default Segment,,,,
,,,,,4197859,206,51698993,electric final,2025-10-20,,2025-10-20,,0,To-do,Default Segment,,,,
,,,,,4197859,206,51698994,int knobs,2025-10-21,,2025-10-21,,0,To-do,Default Segment,,,,
,,,,,4197859,206,51698995,rough clean,2025-10-21,,2025-10-21,,0,To-do,Default Segment,,,,
,,,,,4197859,206,51698996,floors,2025-10-22,,2025-10-24,,0,To-do,Default Segment,,,,
,,,,,4197859,206,51698999,final trim deliver,2025-10-27,,2025-10-27,,0,To-do,Default Segment,,,,
,,,,,4197859,206,51699001,attic blow,2025-10-27,,2025-10-27,,0,To-do,Default Segment,,,,
,,,,,4197859,206,51699002,top install,2025-10-27,,2025-10-27,,0,To-do,Default Segment,,,,
,,,,,4197859,206,51699003,final trim,2025-10-28,,2025-10-28,,0,To-do,Default Segment,,,,
,,,,,4197859,206,51699004,hvac startups,2025-10-28,,2025-10-28,,0,To-do,Default Segment,,,,
,,,,,4197859,206,51699005,backsplash,2025-10-29,,2025-10-29,,0,To-do,Default Segment,,,,
,,,,,4197859,206,51699006,cabinet punch,2025-10-29,,2025-10-29,,0,To-do,Default Segment,,,,
,,,,,4197859,206,51699007,plumbing final,2025-10-30,,2025-10-31,,0,To-do,Default Segment,,,,
,,,,,4197859,206,51699008,clean,2025-11-03,,2025-11-03,,0,To-do,Default Segment,,,,
,,,,,4197859,206,51699010,paint,2025-11-04,,2025-11-06,,0,To-do,Default Segment,,,,
,,,,,4197859,206,51699011,afterpaint,2025-11-07,,2025-11-07,,0,To-do,Default Segment,,,,
,,,,,4197859,206,51699012,security final,2025-11-07,,2025-11-07,,0,To-do,Default Segment,,,,
,,,,,4197859,206,51699014,clean,2025-11-10,,2025-11-10,,0,To-do,Default Segment,,,,
,,,,,4197859,206,51699016,appliance 2,2025-11-11,,2025-11-11,,0,To-do,Default Segment,,,,
